Entity,Year,access_clean_perc,GDP,popn,Death_Rate_ASP
119,2008.0,-1.0679062521558793,-0.8095091333764992,-0.0925778892448754,170.9774351
119,2009.0,-1.0461934019275259,-0.8047123295944384,-0.09214966142318487,165.2494357
119,2010.0,-1.018463737780472,-0.7988976756640197,-0.09189369981449375,159.3357542
119,2011.0,-0.9977972899727621,-0.7942364310459257,-0.09183840621703342,154.1087363
119,2012.0,-0.9792236470063391,-0.7874952788613798,-0.0919411651033999,148.066185
119,2013.0,-0.95881879980379,-0.781712994508612,-0.09208400311361717,142.2550729
119,2014.0,-0.9350131447341496,-0.772159128492444,-0.09210534640670746,135.9214612
119,2015.0,-0.9072834805870957,-0.7662071600803388,-0.09189009555543678,131.448897
119,2016.0,-0.8795538164400418,-0.76704241744477,-0.09139979591854137,127.7416968
120,2000.0,1.0139113637144466,1.527244918110805,-0.11377786665206657,0.088168761
120,2001.0,1.0139113637144466,1.5656637731726242,-0.11359642201375783,0.079801941
120,2002.0,1.0139113637144466,1.5551327823558456,-0.11341434771573433,0.072420346
120,2003.0,1.0139113637144466,1.5472549174702541,-0.11323553027830446,0.064954826
120,2004.0,1.0139113637144466,1.587818917993975,-0.1130653149005516,0.056556024
120,2005.0,1.0139113637144466,1.633631998363306,-0.11290746572378005,0.050209805
120,2006.0,1.0139113637144466,1.7184161163317662,-0.11276349669470209,0.044283127
120,2007.0,1.0139113637144466,1.8127027202499084,-0.11263211691220971,0.038957079
120,2008.0,1.0139113637144466,1.8615094722326675,-0.11251081563286346,0.034858773
120,2009.0,1.0139113637144466,1.7449574940138513,-0.11239579121211585,0.031243064
120,2010.0,1.0139113637144466,1.7670845766392198,-0.11228417366493468,0.028366544
120,2011.0,1.0139113637144466,1.7962787957188444,-0.11217509252130672,0.025911422
120,2012.0,1.0139113637144466,1.7580892295218191,-0.11206917546709187,0.02400325
120,2013.0,1.0139113637144466,1.746646539841769,-0.11196720217497767,0.022082483
120,2014.0,1.0139113637144466,1.7750957796097644,-0.11187047341534669,0.02029435
120,2015.0,1.0139113637144466,1.816039434367345,-0.11177972543607854,0.019269068
120,2016.0,1.0139113637144466,1.8614873295849592,-0.11169525826311887,0.018351059
121,2000.0,1.0139113637144466,0.7685697323014137,-0.13759676066908696,0.160393853
121,2001.0,1.0139113637144466,0.817368801355526,-0.13750014244533068,0.145644419
